epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,43.1682,1.53216,2.27026,1.467,0.90176,0.89454,0.93929,0.49627,1.55739,1.34816,1.62401,0.000656863,0.000656863,0.000656863
2,79.2276,1.52232,1.02083,1.41856,0.0038,0.05085,0.00148,0.00066,3.20314,19.1471,3.55536,0.00129732,0.00129732,0.00129732
3,117.191,1.52147,1.00643,1.45707,0.23083,0.32203,0.13703,0.0534,2.36175,3.31587,2.14144,0.00191138,0.00191138,0.00191138
4,154.898,1.51329,0.96671,1.45386,0.56294,0.77542,0.53119,0.26021,1.64111,2.57106,1.65973,0.0018812,0.0018812,0.0018812
5,192.144,1.52996,0.95079,1.43282,0.82602,0.80297,0.84315,0.43985,1.565,1.33082,1.54469,0.0018416,0.0018416,0.0018416
6,230.187,1.48535,0.93163,1.436,0.89955,0.875,0.91337,0.4814,1.52971,1.15358,1.5309,0.001802,0.001802,0.001802
7,265.797,1.48158,0.88972,1.41283,0.90689,0.93432,0.9602,0.54087,1.468,0.8838,1.46603,0.0017624,0.0017624,0.0017624
8,303.194,1.45196,0.84112,1.40833,0.90721,0.90254,0.93963,0.51077,1.51799,0.77017,1.52983,0.0017228,0.0017228,0.0017228
9,342.004,1.44698,0.83151,1.41432,0.94431,0.90254,0.95403,0.5346,1.48167,0.74414,1.50327,0.0016832,0.0016832,0.0016832
10,378.623,1.43051,0.81867,1.40293,0.92133,0.91809,0.93969,0.53554,1.45319,0.73006,1.46539,0.0016436,0.0016436,0.0016436
11,416.823,1.41879,0.78522,1.38165,0.93727,0.91807,0.95638,0.53147,1.50059,0.76251,1.49632,0.001604,0.001604,0.001604
12,454.171,1.40696,0.7452,1.3618,0.94793,0.96822,0.96886,0.53584,1.4924,0.63836,1.46707,0.0015644,0.0015644,0.0015644
13,490.795,1.40075,0.74249,1.35051,0.95628,0.9428,0.96626,0.56555,1.44272,0.64881,1.46941,0.0015248,0.0015248,0.0015248
14,528.558,1.37372,0.70738,1.35947,0.92352,0.93644,0.9325,0.53286,1.4397,0.66611,1.42078,0.0014852,0.0014852,0.0014852
15,565.144,1.39663,0.73063,1.36211,0.96381,0.95975,0.98134,0.58631,1.40618,0.58389,1.4066,0.0014456,0.0014456,0.0014456
16,603.11,1.35447,0.70673,1.33237,0.94335,0.94703,0.97643,0.57597,1.39585,0.63741,1.40239,0.001406,0.001406,0.001406
17,641.763,1.36379,0.69247,1.33792,0.95872,0.935,0.96726,0.57452,1.40924,0.59928,1.40637,0.0013664,0.0013664,0.0013664
18,678.267,1.35977,0.67508,1.33402,0.96373,0.97881,0.9824,0.58823,1.38815,0.57053,1.38686,0.0013268,0.0013268,0.0013268
19,715.986,1.35107,0.66286,1.32142,0.96144,0.95085,0.97187,0.58323,1.40994,0.56578,1.42491,0.0012872,0.0012872,0.0012872
20,751.572,1.35427,0.7028,1.33067,0.92922,0.94568,0.9708,0.55652,1.4735,0.62418,1.45031,0.0012476,0.0012476,0.0012476
21,789.013,1.33305,0.64587,1.31656,0.95564,0.95856,0.97288,0.57422,1.39651,0.58837,1.42564,0.001208,0.001208,0.001208
22,826.745,1.29191,0.62883,1.29949,0.968,0.96146,0.98573,0.59614,1.41572,0.54428,1.39732,0.0011684,0.0011684,0.0011684
23,862.895,1.29286,0.62799,1.29119,0.96148,0.95763,0.9835,0.59211,1.38313,0.54455,1.37611,0.0011288,0.0011288,0.0011288
24,900.239,1.29222,0.63657,1.28933,0.9576,0.97669,0.98302,0.58787,1.40208,0.54832,1.38461,0.0010892,0.0010892,0.0010892
25,936.926,1.28055,0.61956,1.27761,0.94038,0.9661,0.97826,0.5883,1.39525,0.56575,1.4024,0.0010496,0.0010496,0.0010496
26,974.116,1.24309,0.61158,1.2776,0.95887,0.98941,0.98689,0.58634,1.41166,0.52928,1.40655,0.00101,0.00101,0.00101
27,1011.89,1.28329,0.60303,1.28176,0.96249,0.97844,0.97482,0.59442,1.37611,0.53386,1.37853,0.0009704,0.0009704,0.0009704
28,1047.94,1.25323,0.59582,1.27102,0.96234,0.9661,0.98036,0.58823,1.43604,0.54474,1.40527,0.0009308,0.0009308,0.0009308
29,1085.57,1.26579,0.59305,1.27864,0.96451,0.9787,0.97525,0.59809,1.38506,0.53085,1.38645,0.0008912,0.0008912,0.0008912
30,1122.84,1.2302,0.60024,1.25725,0.96435,0.95339,0.97737,0.59582,1.42314,0.52708,1.4301,0.0008516,0.0008516,0.0008516
31,1159.97,1.2267,0.57179,1.25636,0.9539,0.96437,0.97637,0.58213,1.41942,0.51889,1.43929,0.000812,0.000812,0.000812
32,1197.98,1.22849,0.56918,1.25038,0.96828,0.97005,0.98225,0.61528,1.38688,0.488,1.37849,0.0007724,0.0007724,0.0007724
33,1234.24,1.22801,0.56931,1.25075,0.96852,0.95975,0.97269,0.59217,1.38484,0.52627,1.38776,0.0007328,0.0007328,0.0007328
34,1272.51,1.21894,0.5635,1.25249,0.97011,0.97034,0.98719,0.61445,1.3713,0.4931,1.36602,0.0006932,0.0006932,0.0006932
35,1310.61,1.21728,0.5546,1.24565,0.96392,0.9661,0.97708,0.60255,1.37937,0.49032,1.38441,0.0006536,0.0006536,0.0006536
36,1346.91,1.1929,0.54667,1.23545,0.9691,0.95551,0.98156,0.60444,1.39548,0.5,1.39858,0.000614,0.000614,0.000614
37,1384.42,1.16006,0.53398,1.2317,0.96999,0.96186,0.97876,0.60552,1.38829,0.50421,1.40087,0.0005744,0.0005744,0.0005744
38,1421.66,1.1738,0.54547,1.23113,0.97056,0.97772,0.98926,0.60205,1.4014,0.49036,1.38478,0.0005348,0.0005348,0.0005348
39,1458.52,1.16038,0.52945,1.23018,0.98004,0.97246,0.98919,0.6017,1.40605,0.48335,1.3883,0.0004952,0.0004952,0.0004952
40,1496.67,1.16179,0.51648,1.21523,0.97351,0.96822,0.98706,0.60403,1.38053,0.47807,1.39018,0.0004556,0.0004556,0.0004556
41,1536.04,1.13457,0.47331,1.23871,0.95833,0.97669,0.98354,0.61337,1.37221,0.4948,1.37969,0.000416,0.000416,0.000416
42,1571.85,1.13473,0.45367,1.23394,0.96929,0.98517,0.99079,0.60837,1.40414,0.49628,1.38512,0.0003764,0.0003764,0.0003764
43,1608.99,1.10298,0.4388,1.21347,0.97047,0.97471,0.99013,0.62029,1.39014,0.47898,1.38873,0.0003368,0.0003368,0.0003368
44,1644.69,1.07465,0.43754,1.19296,0.97267,0.98012,0.98814,0.61577,1.39407,0.48375,1.38676,0.0002972,0.0002972,0.0002972
45,1682.04,1.0791,0.42733,1.19342,0.97467,0.98729,0.99064,0.61737,1.39572,0.4762,1.3905,0.0002576,0.0002576,0.0002576
46,1717.54,1.06472,0.42729,1.19538,0.97684,0.98293,0.98781,0.62436,1.38814,0.47028,1.39268,0.000218,0.000218,0.000218
47,1754.24,1.04632,0.41581,1.18259,0.97511,0.98517,0.98983,0.62438,1.37986,0.46456,1.37774,0.0001784,0.0001784,0.0001784
48,1791.53,1.03806,0.41071,1.17413,0.97478,0.98279,0.98516,0.61923,1.38931,0.4686,1.39571,0.0001388,0.0001388,0.0001388
49,1827.3,1.01344,0.40459,1.15376,0.97918,0.98517,0.99062,0.62724,1.37894,0.46816,1.37542,9.92e-05,9.92e-05,9.92e-05
50,1864.77,1.00686,0.39711,1.15189,0.97482,0.98517,0.98955,0.62442,1.38479,0.46896,1.38723,5.96e-05,5.96e-05,5.96e-05
